data/spam2-test/lgfoqlvnppicfvfq.x;0
data/spam2-test/xjgjzojqglwcfsar.x;1
data/spam2-test/ucvumabybcfqqsha.x;1
data/spam2-test/dnjtarwrjxiyongz.x;0
data/spam2-test/qlfrtdirhpivxevc.x;1
data/spam2-test/hzwqqqdhbsjdrykw.x;1
data/spam2-test/ntjqhgxvtzwgchvp.x;1
data/spam2-test/mzpzooiwetqflkhm.x;0
data/spam2-test/rtcinkxjzltzwktj.x;1
data/spam2-test/vatkcguqofyktlan.x;0
data/spam2-test/grytmqvhygapsdre.x;1
data/spam2-test/jletoljtumnuzgnv.x;0
data/spam2-test/vowcbgfohbknidmq.x;1
data/spam2-test/kkwjrmbrccdhfffp.x;1
data/spam2-test/frjhegqhascblkgf.x;1
data/spam2-test/gaphdyfhstebzkct.x;1
data/spam2-test/cpjjsqvhpnhefvuy.x;0
data/spam2-test/ptshjkivtsnspuxk.x;0
data/spam2-test/dsytvztgofuctfle.x;1
data/spam2-test/qgtdylbhasrcvysz.x;1
data/spam2-test/ycgohqbzhsenmuxn.x;1
data/spam2-test/gsnvoqzxmmsnlixn.x;1
data/spam2-test/yspmugdxtkagmzev.x;1
data/spam2-test/jomgzxhdwswfmzzi.x;0
data/spam2-test/znnbjfdbclhesbyb.x;0
data/spam2-test/dthxmkcvbrlsuqrm.x;1
data/spam2-test/kffcofcpttxcihny.x;1
data/spam2-test/usyfvufnjygpzyxx.x;0
data/spam2-test/yznlnzjofnlirpiy.x;1
data/spam2-test/byizafhifwxpdhnk.x;1
data/spam2-test/kmrghtjbxeajusvx.x;1
data/spam2-test/vgzodhwtkwtefnle.x;0
data/spam2-test/pzhckpjhqujtuour.x;0
data/spam2-test/luqjquytyreiimeq.x;1
data/spam2-test/upwxmmvwrmeikhul.x;1
data/spam2-test/udkojthgmmppplid.x;1
data/spam2-test/uliqblmfmxfvbryc.x;1
data/spam2-test/efryqcswjrqyssug.x;1
data/spam2-test/xaypxjbbqqtnxfog.x;1
data/spam2-test/eqbtrhnbfvpxigso.x;1
data/spam2-test/ubkwkfoozoctifnk.x;1
data/spam2-test/eyxobpqdvbqhdfdm.x;0
data/spam2-test/warxxrsudedpwpur.x;1
data/spam2-test/srkrsrkocfviksbs.x;1
data/spam2-test/cvvutjutpdajmbse.x;0
data/spam2-test/samqakueqrkohkeq.x;1
data/spam2-test/ttylsoxusufijgbx.x;1
data/spam2-test/vxhsznkbhostntyt.x;1
data/spam2-test/tonfwkxafojojaey.x;1
data/spam2-test/nakueloeglekxbcg.x;0
data/spam2-test/jvppayelfpgswcjz.x;1
data/spam2-test/twdeenwcfyesfggp.x;1
data/spam2-test/xipscxzdhclsinhq.x;0
data/spam2-test/fbynfbpmatbgfhqv.x;1
data/spam2-test/zztwnwfhvaudykei.x;1
data/spam2-test/skovunrczomoptpn.x;1
data/spam2-test/rdkndvzkjkrbhlqr.x;1
data/spam2-test/afanzectnpvfxqpu.x;1
data/spam2-test/ppegysscpcolxece.x;0
data/spam2-test/glidymadcqizvplp.x;1
data/spam2-test/ovkcfoezxxxplmyw.x;1
data/spam2-test/otrffaaqnnpqahjn.x;0
data/spam2-test/efkzggrnbcdbareq.x;1
data/spam2-test/ipofolfdtqyemhvj.x;1
data/spam2-test/llxvdrfjsdvyxfph.x;0
data/spam2-test/hocwftotwsqcqehk.x;1
data/spam2-test/qjborwifunbksrdl.x;1
data/spam2-test/gsriuvbdliusbywr.x;1
data/spam2-test/nuegnqfgftahbysk.x;1
data/spam2-test/yeghlhdmoesfvyhh.x;1
data/spam2-test/ohuzjrhshxodrtiv.x;1
data/spam2-test/rwucttzyobswaxpy.x;1
data/spam2-test/hucedkejpidtfthi.x;0
data/spam2-test/kgibtaazznnhuiua.x;1
data/spam2-test/fosfvonqyqandgnl.x;1
data/spam2-test/kmjwmahgvsoschzv.x;1
data/spam2-test/pzqcfyuxhrlbhqjt.x;0
data/spam2-test/efmqlqfwjzgbppfi.x;1
data/spam2-test/xizozxsczwtbodiy.x;1
data/spam2-test/mqwtpwkibrppecht.x;1
data/spam2-test/fjbrrpwkpekvjllo.x;1
data/spam2-test/udkcshrrmzmdayss.x;1
data/spam2-test/gmgodnwugpxffbrh.x;1
data/spam2-test/bixfkgdhtaqrgixr.x;1
data/spam2-test/epwdwispciwraprk.x;0
data/spam2-test/jjiycnfyoxbdzyqw.x;1
data/spam2-test/sytamhquyzdhkkrr.x;1
data/spam2-test/ccmbgnjqdhkxnbob.x;0
data/spam2-test/zibagorqpbkdgwiz.x;1
data/spam2-test/yitsvmasfjsghgfj.x;1
data/spam2-test/bdlqggrcbdhdksen.x;1
data/spam2-test/ssuxjqmgxvowodfa.x;1
data/spam2-test/axejiymqftvtpsjc.x;1
data/spam2-test/rdlfipvgbtrsuquy.x;1
data/spam2-test/exwqhhiwvnwblpqq.x;1
data/spam2-test/dwvsmxdlhohhacbd.x;0
data/spam2-test/holalwrhyfvghvmz.x;0
data/spam2-test/bgnglbhtynvpeqxd.x;1
data/spam2-test/dkpbohkwdlykixro.x;1
data/spam2-test/jlptjuvypcnewszk.x;1
data/spam2-test/chrtujxeftlujmle.x;1
data/spam2-test/riagiwdghkhpctuc.x;1
data/spam2-test/qofgnjwkcdvgsssg.x;0
data/spam2-test/caphvwkpoasredej.x;1
data/spam2-test/ykggpknmkttvwmct.x;1
data/spam2-test/ihdgfexepeoiqudq.x;1
